company_fyi,ticker,period,announcement_date,listing_region,industry,ai_mentioned,layoff_count,layoff_pct,CAR_1_1,CAR_0_1,CAR_0_5,CAR_0_20,CAR_5_60,alpha_ff4,beta_mkt_ff4,r2_ff4,n_est_obs
Spotify,SPOT,pre_genai,2022-10-06,US,Media,0,,,0.01156435893046058,0.0357108689758929,0.0017964215132124546,-0.07810215506194865,0.06842446597494563,-0.0010266058203624237,1.172910276557836,0.6213941025761451,250
Spotify,SPOT,post_genai,2023-12-04,US,Media,0,1500.0,17%,0.06715930470055831,0.09872998347867849,0.07601592452959828,-0.009815281110240676,0.05861879050832218,0.0026015367128982576,1.1148492008314503,0.32815986669503694,250
Spotify,SPOT,post_genai,2024-07-15,US,Media,0,40.0,,-0.03269885326198599,-0.027159385328997827,-0.015057456316741411,0.14520375438631702,-0.029925528531102318,0.0022206240857634736,1.0760301803371033,0.23075618530967001,250
Sprout Social,SPT,post_genai,2024-11-25,US,Marketing,0,,,0.04458797821756788,0.00560468880470825,-0.04527155627638916,0.07382130317980751,0.16041734283415365,-0.0021717663685384024,1.3644337106407904,0.35066294648624474,250
Sportradar,SRAD,post_genai,2023-11-02,US,Data,0,,10%,0.04584677993246409,0.13108223597963076,0.15097853996747668,0.11957194030131169,0.06570424602964217,-7.76298143618198e-05,1.120469707331937,0.2911320197567949,250
Stem,STEM,post_genai,2025-04-29,US,Energy,0,,27%,0.3176069514603522,0.3169715228572269,0.21186915166653325,0.10487058811016334,0.8225560782647231,-0.000428054174525921,0.07785594991962012,0.13008308792047085,250
Stone,STNE,pre_genai,2020-05-12,US,Finance,0,1300.0,20%,-0.18648966052837113,-0.1646628236719514,-0.08637298464365498,0.25680136593010144,0.4155759509158897,0.000622508821847062,1.4159500344924494,0.45100279880552097,250
Storytel,STORY-B.ST,pre_genai,2022-03-17,INTL,Media,0,100.0,10%,0.034560463303522956,0.025146856704984098,0.027808343677920636,0.07355656300072579,-0.14062428180612635,-0.002291393759538139,0.6322076704381977,0.1120967375431452,244
Storytel,STORY-B.ST,post_genai,2024-01-24,INTL,Media,0,80.0,13%,0.2542344193063786,0.24542270305249753,0.2388526149769825,0.37401031493730963,0.3555095747423976,-0.0013621534240195543,0.9355249591179071,0.0975235037300658,243
Seagate,STX,pre_genai,2022-10-26,US,Hardware,0,3000.0,8%,-0.08939267027408189,-0.09769167410243783,-0.13108347021981917,-0.08514392234614286,0.12764017055409216,-0.0003194675500238672,1.1687537429110475,0.4842529041136242,250
SWVL,SWVL,pre_genai,2022-05-30,US,Transportation,1,400.0,32%,0.01846930990800774,0.04456484548753607,0.008604237048913527,0.5626610837007048,-0.744451313943986,-0.002580759293307604,0.8661421793866507,0.06231888245672923,250
Synlogic,SYBX,pre_genai,2022-12-01,US,Healthcare,0,,25%,0.2615876052029139,0.27911313012497324,0.1320777232673828,0.3707416555601526,0.26141475390685376,-0.0025363696751594597,0.5574144872186776,0.1411486616215426,250
TaskUs,TASK,post_genai,2023-02-22,US,Support,0,186.0,,0.1153314759078835,0.08678587551289677,-0.013084925665639235,-0.18968218770493545,-0.3525650700344301,-0.0009957737463073255,1.504204885250323,0.5376332789218023,250
Taboola,TBLA,pre_genai,2022-09-13,US,Marketing,0,100.0,6%,-0.009918045112781094,0.007583478158203531,-0.05531504238594764,-0.07582246619048162,0.47908457774356394,-0.002797953963255051,0.9514599213372057,0.3583959479752218,250
Teradata,TDC,post_genai,2024-08-06,US,Data,0,,13%,-0.16659787542751817,-0.1563492838498191,-0.09618047405122455,-0.03988181293411179,0.10472512997144905,-0.0019453962597961315,0.9462926327889529,0.19920725467780775,250
Teladoc Health,TDOC,post_genai,2023-01-18,US,Healthcare,0,300.0,6%,-0.04870480716455284,-0.08590348258952513,-0.07132719408151857,-0.04177600973492622,-0.07501184549684747,6.07311375990197e-05,1.1478656883219873,0.7222555946252904,250
ThredUp,TDUP,pre_genai,2022-08-15,US,Retail,0,,15%,0.11398476471786245,0.13427619615480754,-0.020572976323154385,0.31842353335086304,-0.12107013953179702,-0.005975242178363094,1.1445677966700556,0.3426284848686839,250
Atlassian,TEAM,post_genai,2023-03-06,US,Other,0,500.0,5%,0.05126416982651872,0.014331454049296394,-0.06581863414275697,-0.15255499974405828,-0.0997151726039918,0.00014558129130028545,1.3862411362570315,0.6738962806184055,250
Atlassian,TEAM,post_genai,2025-07-30,US,Other,0,150.0,,-0.046421162001110246,-0.04731114185257764,-0.09488372602033943,-0.18683970876248335,-0.2688015390984041,9.323885484017113e-05,1.1233931149739957,0.3793081416351032,250
Tenable,TENB,post_genai,2024-02-07,US,Security,0,,5%,0.04462570454308283,0.042811145011330265,0.026981173362739592,-0.06582902884168812,-0.14296188317878708,0.0008114553694068536,1.0716642721638223,0.3196157825164354,250
TomTom,TOM2.AS,pre_genai,2022-06-01,INTL,Transportation,0,500.0,10%,0.04058612301808888,0.024943934657665093,0.03941022247503075,-0.08604343693705191,0.05468440401980724,0.0010909804189747057,0.4511502335977875,0.05735496571145193,243
TomTom,TOM2.AS,post_genai,2023-12-12,INTL,Transportation,0,45.0,,-0.05523389665276985,-0.02835702121788699,0.010414863354210255,0.026163459336181496,0.24171273095783813,-0.0008279669787080167,0.5512922586336737,0.12097631436300482,242
TomTom,TOM2.AS,post_genai,2025-06-30,INTL,Other,0,300.0,10%,-0.047493245811388085,-0.058440480216413924,-0.0074716359236856305,0.04601490416406098,0.10418443929773064,-0.00012302801850906281,0.10765134345755195,0.02391917451084591,243
Toast,TOST,post_genai,2024-02-15,US,Food,0,550.0,10%,0.11454627148687864,0.11726863704077267,0.07020128549750157,0.2155164684461929,0.37227836375782525,-0.00036077367832985246,1.6864318280376618,0.40573177146017425,250
LendingTree,TREE,pre_genai,2022-11-03,US,Finance,0,200.0,,0.11213917306641068,0.129259327003667,0.11769521168783721,0.12761263590670052,0.8175955398258389,-0.00529248547955787,1.3753522578327373,0.508301750671948,250
TripAdvisor,TRIP,pre_genai,2020-04-28,US,Travel,0,900.0,25%,-0.025203816759611822,0.0016232669834385614,-0.024804575147197465,0.11446394779375643,0.0364505873175347,-0.0016552770929922508,0.7884841424281299,0.42161768759977436,250
TripAdvisor,TRIP,post_genai,2023-08-02,US,Travel,0,,,-0.12664307389980972,-0.11824704923312868,-0.08812830984473967,-0.13502154296596355,-0.001484713064812182,-0.00029922850725853944,0.8333713836728155,0.41862515860255944,250
TripAdvisor,TRIP,post_genai,2025-02-04,US,Travel,0,75.0,,-0.012391595023427578,-0.009019773313953545,0.022287425369976025,-0.15902764104764916,-0.14576216224950203,-0.0005273459199281204,0.9261560675141081,0.2290087774630437,250
TripAdvisor,TRIP,post_genai,2025-11-05,US,Travel,0,,20%,0.02571266273276598,0.044485590205629894,0.04234462574973068,-0.028296810750162882,-0.33877934387492425,-0.0003505189165207154,1.5966314442901244,0.38459799622693636,250
Maven,TRLFF,pre_genai,2020-03-30,US,Media,0,31.0,9%,-0.30910156847506765,-0.10453699619558646,-0.42814175001486793,0.26941548018794376,0.5613863082569259,-0.00479535895834778,0.5321312579926558,0.010905627808752705,250
Tesla,TSLA,pre_genai,2022-06-03,US,Transportation,0,,10%,-0.06205349754916745,-0.06363706564597042,-0.04335069057761229,-0.11400487076414637,-0.043545000724819746,0.0025822482372347007,1.3226560554904108,0.47261219878546856,250
Tesla,TSLA,post_genai,2024-04-15,US,Transportation,0,14000.0,10%,-0.03557456496955071,-0.04711337063789827,-0.11083099150310519,0.019428128538650603,0.3780196738801987,-0.0015016357444908195,1.928830276481785,0.36325670004005806,250
The Trade Desk,TTD,post_genai,2025-12-17,US,Marketing,0,,,0.03748164176980206,0.028629533823325507,0.046107205588928404,0.02133482840556907,-0.2384288049558209,-0.00281036068646992,1.0703439666300434,0.3097502829568639,250
TechTarget,TTGT,pre_genai,2022-12-08,US,Marketing,0,60.0,5%,0.01228616198683834,0.0077218783603376345,0.031458806878733786,0.11941517953751911,-0.16001032905065837,-0.0006963612454404105,0.973528408081751,0.5610846343466651,250
Take-Two Interactive,TTWO,post_genai,2023-03-07,US,Consumer,0,,,0.016139905617980708,0.018702916415801463,0.030690987038420325,0.07710891564082648,0.3061814633104897,-0.0009380962263248014,0.6901748013021862,0.4046389766321872,250
Take-Two,TTWO,post_genai,2024-04-16,US,Consumer,0,579.0,5%,-0.007109078047542128,-0.007127547701296404,-0.021826994741336158,-0.03422021548635139,-0.06969532835045353,-0.00013959555103977472,0.9713576915133271,0.27299537487242675,250
Twilio,TWLO,pre_genai,2022-09-14,US,Other,0,800.0,11%,0.13865274519554127,0.11332396595508529,0.16555428657750124,0.2591132566980817,0.07021552318169652,-0.0030441093292697926,1.2956799553629224,0.6895758019332547,250
Twilio,TWLO,post_genai,2023-12-04,US,Other,0,,5%,0.03444749320610831,0.03015477285412754,0.05266999305835968,-0.018352880125336014,-0.1657725678942686,0.0003280426083211291,1.2895381147865128,0.38773000118141654,250
Twist Bioscience,TWST,post_genai,2023-05-05,US,Healthcare,0,270.0,25%,0.07462376045923982,0.0054687318969427745,-0.08030875649927233,0.14745931141302004,0.5116857593509133,-0.002351727382675684,1.166910207822459,0.6143452961003282,250
10X Genomics,TXG,pre_genai,2022-08-04,US,Healthcare,0,100.0,8%,-0.062027434392545704,-0.034212460397564586,0.101547151921176,-0.0396882277037149,0.07571008608080973,-0.0034113130271076274,1.2532317019972319,0.5481144632801,250
