company_fyi,ticker,announcement_date,ai_causal,ai_primary,ai_broad,post_chatgpt,CAR_1_1,CAR_0_20,CAR_5_30,beta_mkt_ff4,listing_region,layoff_count,layoff_pct,industry,event_sequence,is_first_event
NetApp,NTAP,2023-01-31,0,0,0,1,0.59600202085722,0.57153636154381,0.9760437101831,1.024366741498242,US,960.0,8%,Data,1,1
NetEase,NTES,2025-02-22,0,0,0,1,-4.6183577144741,3.57134437281949,9.24034063777841,0.8702441970804595,US,,,Consumer,1,1
Nutanix,NTNX,2022-08-09,0,0,0,0,1.22532127376719,44.108310326650866,56.40279436722913,1.2512702771604025,US,270.0,4%,Infrastructure,1,1
Natera,NTRA,2022-11-22,0,0,0,0,4.69011467879303,21.09735421307221,15.89298980829564,1.0836943055414874,US,,,Healthcare,1,1
Nextdoor,NXDR,2023-11-07,0,0,0,1,-16.21669553099242,-7.55002313851508,0.6497259490355,1.2305683611868976,US,,25%,Consumer,1,1
Nayax,NYAX,2025-07-07,0,0,0,1,-15.48650079708339,-18.82471093041537,-16.07406144506165,0.574109284415714,US,70.0,6%,Finance,1,1
Okta,OKTA,2022-08-26,1,1,1,0,0.49813422754008,-25.105803220648088,-18.87032074005116,1.3405050431946186,US,24.0,,Security,1,1
Offerpad,OPAD,2022-11-11,0,0,0,0,10.136746276052133,2.90110206253807,-14.87054776529774,1.116172146694974,US,,7%,Real Estate,1,1
Opendoor,OPEN,2022-11-02,0,0,0,0,4.14279770663977,-12.36638286210596,-30.73013667164439,1.607289905983352,US,550.0,18%,Real Estate,1,1
Oportun,OPRT,2023-02-09,0,0,0,1,-7.005740858125691,-26.69911020473789,-11.25980530077613,1.32730603358208,US,155.0,10%,Finance,1,1
Oracle,ORCL,2022-08-01,0,0,0,0,-1.354030975327,-1.64693503143108,2.94028461371009,0.935248366709989,US,,,Other,1,1
Oatly,OTLY,2022-11-15,0,0,1,0,-15.89625504300271,-31.822984793904507,10.104632534744033,1.3189785203121236,US,,,Food,1,1
Ouster,OUST,2022-09-20,0,0,0,0,-11.525125696230209,-1.84363220346275,27.24179638365627,1.1779821515311726,US,,10%,Transportation,1,1
Owlet,OWLT,2022-07-22,0,0,0,0,-6.5606736306209,5.84585983557575,9.30118546768312,0.7719414547669279,US,,,Healthcare,1,1
PagSeguro,PAGS,2023-01-25,0,0,0,1,14.27972799045773,-7.19225234872438,-3.41996975585366,1.2188427215126771,US,,7%,Finance,1,1
UiPath,PATH,2022-06-27,0,0,1,0,1.0647212596429498,-19.578977626316952,-21.06927646075145,1.2661866472501142,US,210.0,5%,Data,1,1
Paycom,PAYC,2025-10-01,0,0,0,1,-9.88870022982644,-14.136830408987668,-31.57040063688834,0.896425009633988,US,500.0,,HR,1,1
