event_id,ticker,company_x,event_dt,CAR_CAPM_short_term,CAR_FF4_short_term,percentage_laid_off,funds_raised,ai_mentioned,company_y,prior_6m_return,n_pre,layoff_pct,funds_raised_num,log_funds_raised,year
PAYO_2023-06-26,PAYO,Payoneer,2023-06-26,0.1362752513072724,0.1318909088580103,0.1,,1,Payoneer,-0.14717610790006352,126,0.1,,0.0,2023
PAYO_2025-12-08,PAYO,Payoneer,2025-12-08,0.1362752513072724,0.1318909088580103,0.06,,1,Payoneer,-0.2256539840127061,126,0.06,,0.0,2025
PEGA_2023-01-03,PEGA,Pegasystems,2023-01-03,0.1257829680347394,0.1132712562459457,0.04,,0,Pegasystems,-0.3598194951038658,126,0.04,,0.0,2023
PEGA_2023-08-31,PEGA,Pegasystems,2023-08-31,0.1257829680347394,0.1132712562459457,0.04,,0,Pegasystems,0.04769560918210769,126,0.04,,0.0,2023
PERI_2022-08-08,PERI,Perion,2022-08-08,0.0067573616464973,0.0106033320668387,0.05,76.0,1,Perion,-0.021983530766935933,126,0.05,76.0,4.330733340286331,2022
PERI_2024-06-25,PERI,Perion,2024-06-25,0.0067573616464973,0.0106033320668387,0.05,76.0,1,Perion,-0.8048873635868786,126,0.05,76.0,4.330733340286331,2024
PGY_2023-01-18,PGY,Pagaya,2023-01-18,0.0763200237419909,0.146384175875874,0.2,571.0,1,Pagaya,-1.0395958585520486,126,0.2,571.0,6.3473892096560105,2023
PGY_2024-06-05,PGY,Pagaya,2024-06-05,0.0763200237419909,0.146384175875874,0.2,2000.0,1,Pagaya,-0.4976993456988471,126,0.2,2000.0,7.600902459542082,2024
PINS_2026-01-27,PINS,Pinterest,2026-01-27,-0.0746860896424722,-0.0620795004710841,0.15,1500.0,1,Pinterest,-0.3617102371234159,126,0.15,1500.0,7.313220387090301,2026
PLTK_2022-05-31,PLTK,Playtika,2022-05-31,0.1620202354572129,0.1472941538317085,0.06,,1,Playtika,-0.2700872466014047,126,0.06,,0.0,2022
PLTK_2022-12-09,PLTK,Playtika,2022-12-09,0.1620202354572129,0.1472941538317085,0.15,,1,Playtika,-0.4336946140330671,126,0.15,,0.0,2022
