ticker,funds_raised,log_funds_raised
SVMK,1100.0,7.00397413672268
SG,478.0,6.171700597410915
SWVL,132.0,4.890349128221754
SYBX,321.0,5.7745515455444085
SNPS,,
TBLA,445.0,6.100318952020064
TTWO,4100.0,8.31898612539206
TB,8.0,2.1972245773362196
TASK,279.0,5.634789603169249
TCRR,173.0,5.159055299214529
TTGT,115.0,4.7535901911063645
TDOC,172.0,5.153291594497779
TNAV,30.0,3.4339872044851463
TMPOQ,154.0,5.043425116919247
TENB,565.0,6.338594078203183
0700.HK,12600.0,9.441531454869693
TDC,,
TSLA,20200.0,9.913487387114461
REAL,356.0,5.877735781779639
TTD,257.0,5.552959584921617
5S0A.F,22.0,3.1354942159291497
TWKS,748.0,6.618738983517219
TDUP,305.0,5.723585101952381
TM,278.0,5.631211781821365
TOST,962.0,6.870053411798126
TOM2.AS,,
TCDAQ,624.0,6.437751649736401
TRIP,3.0,1.3862943611198906
TRUE,340.0,5.831882477283517
TSPH,648.0,6.47543271670409
TWLO,614.0,6.421622267806518
TWST,503.0,6.222576268071369
TWTR,5700.0,8.648396877031582
UBER,24700.0,10.114599007626499
UBI.PA,2900.0,7.972810784121404
UDMY,311.0,5.7430031878094825
PATH,2000.0,7.601402334583733
U,1300.0,7.170888478512505
UPST,144.0,4.976733742420574
UPWK,168.0,5.1298987149230735
VCSA,834.0,6.727431724850855
VRNS,30.0,3.4339872044851463
VELO,305.0,5.723585101952381
VZ,6600.0,8.79497643168877
FORA.TO,,
DSP,,
VSAT,366.0,5.905361848054571
RBOT,185.0,5.225746673713202
VRAYQ,2300.0,7.741099090035366
VMEO,450.0,6.111467339502679
VGL.NZ,,
VLTA,575.0,6.3561076606958915
VRM,1300.0,7.170888478512505
VTEX,365.0,5.902633333401366
WKME,307.0,5.730099782973574
WBX,167.0,5.123963979403259
WRBY,535.0,6.284134161070802
W,1700.0,7.438971592395862
WEJOF,376.0,5.932245187448011
WDC,900.0,6.803505257608338
WEW.DE,237.0,5.472270673671475
WEWORK.NS,22200.0,10.007892611890918
WEX,400.0,5.993961427306569
WISE.L,300.0,5.707110264748875
WTC.AX,3000.0,8.006700845440367
WISH.V,1600.0,7.3783837129967145
WIX,58.0,4.07753744390572
WDAY,230.0,5.442417710521793
XRO,681.0,6.525029657843462
XRX,27200.0,10.211009016314167
1810.HK,7400.0,8.909370405197466
XP,,
YEXT,117.0,4.770684624465665
ZAL.DE,467.0,6.148468295917647
ZC,82.0,4.418840607796598
ZAPPFRESH.BO,300.0,5.707110264748875
ZBRA,2000.0,7.601402334583733
Z,97.0,4.584967478670572
ZIP,896.0,6.799055862058796
ZOMT,914.0,6.818924065275521
ZM,276.0,5.6240175061873385
GTM,7.0,2.0794415416798357
ZPG,25.0,3.258096538021482
ZS,148.0,5.003946305945459
ZUO,647.0,6.473890696352274
