company_fyi,ticker,confidence,status,period,announcement_date,edgar_8k_date,layoff_count,layoff_pct,industry,country,source_url,match_src,ticker_edgar,ticker_yfinance,yf_name,cik,ai_mentioned,ai_evidence,listing_region,benchmark_index,event_study_usable,exclusion_reason
EQRx,,NONE,DELISTED,post_genai,2023-02-24,2023-05-08,,18%,Healthcare,United States,https://www.biopharmadive.com/news/eqrx-biotech-layoffs-jobs-restructuring/643507/,EDGAR_exact,,,,1843762.0,0,,UNKNOWN,^GSPC,False,
Twitter,,NONE,DELISTED,post_genai,2023-02-25,,200.0,10%,Consumer,United States,https://www.nytimes.com/2023/02/26/technology/twitter-layoffs.html,yfinance_only,,,,,0,,UNKNOWN,^GSPC,False,
Sono Motors,,NONE,DELISTED,post_genai,2023-02-27,,300.0,,Transportation,Germany,https://twitter.com/sonomotors/status/1630246207137419264,yfinance_only,,,,,0,,UNKNOWN,^GSPC,False,
Thoughtworks,,NONE,DELISTED,post_genai,2023-03-01,,500.0,4%,Other,United States,https://techcrunch.com/2023/03/01/thoughtworks-layoffs-economic-slowdown/,yfinance_only,,,,,0,"[FALSE_POSITIVE_TC_BOILERPLATE] [WEAK] ...Google is now letting users in the US change their Gmail address Ivan Mehta Why OpenAI really shut down Sora Connie Loizos The Pixel 10a doesn’t have a camera bump, a...",UNKNOWN,^GSPC,False,
Embark Trucks,,NONE,DELISTED,post_genai,2023-03-03,,230.0,70%,Transportation,United States,https://techcrunch.com/2023/03/03/embark-trucks-lays-off-workers-explores-liquidation-of-self-driving-truck-assets/,yfinance_only,,,,,0,"[FALSE_POSITIVE_TC_BOILERPLATE] [WEAK] ...Google is now letting users in the US change their Gmail address Ivan Mehta Why OpenAI really shut down Sora Connie Loizos The Pixel 10a doesn’t have a camera bump, a...",UNKNOWN,^GSPC,False,
Accolade,,NONE,DELISTED,post_genai,2023-03-03,,,,Healthcare,United States,https://www.bizjournals.com/seattle/news/2023/03/03/accolade-layoffs-reducing-office-footprint-seattle.html,yfinance_only,,,,,0,,UNKNOWN,^GSPC,False,
GoTo Group,,NONE,DELISTED,post_genai,2023-03-10,,600.0,,Transportation,Indonesia,https://www.reuters.com/technology/indonesia-tech-firm-goto-announces-layoffs-impacts-around-600-roles-statement-2023-03-10/,yfinance_only,,,,,0,,UNKNOWN,^GSPC,False,
Boxed,,NONE,DELISTED,post_genai,2023-03-15,,32.0,25%,Retail,United States,https://www.crainsnewyork.com/technology/e-commerce-firm-boxedcom-shed-25-staff-it-looks-buyer,yfinance_only,,,,,0,,UNKNOWN,^GSPC,False,
Nubank,,NONE,DELISTED,post_genai,2023-03-15,,30.0,,Finance,Brazil,https://brazilian.report/liveblog/politics-insider/2023/06/07/nubank-layoffs-restructuring/,yfinance_only,,,,,0,,UNKNOWN,^GSPC,False,
Leafly,,NONE,DELISTED,post_genai,2023-03-16,,40.0,21%,Retail,United States,https://www.geekwire.com/2023/leafly-reportedly-lays-off-employees-for-second-time-in-a-year/,yfinance_only,,,,,0,,UNKNOWN,^GSPC,False,
